6b,73,3,0,80,,  ,1c,20,c1,66,b4,a1,0e,97,8e,c1
cb,73,a7,2,80,,  ,5f,de,6c,bb,3,b8,50,a2,31,ea
2,dc,7,85,8a,,  ,1,c8,b4,da,1f,74,46,ff,c8,64
9c,57,b7,f3,80,,  ,52,e2,b4,54,dc,e3,83,6c,d6,33
37,1,0,0,80,,  ,f1,d6,f8,31,52,17,f2,b9,e8,d1
73,0,0,0,80,,  ,3,63,78,be,bd,57,5d,7,1f,c7
3,0,0,0,80,,  ,6f,ab,aa,e6,a8,4d,b1,73,b2,bb
f6,d4,d7,1,80,,  ,72,62,27,c2,8e,4b,7a,6c,6b,e6
76,88,6a,74,80,,  ,8c,45,25,7e,7e,bf,41,8,37,bc
77,4f,28,0,80,,  ,dd,d7,28,57,8,18,31,af,32,0f
ff,5e,8c,8,80,,  ,b8,56,88,30,ae,12,6f,cc,7a,7c
81,f9,ee,60,84,,  ,df,67,ed,9e,5a,a3,73,4f,ad,15
3a,75,7c,0,80,,  ,18,8f,7,66,8c,ae,7e,72,6f,41
14,ec,73,1,80,,  ,0f,c6,f7,aa,f3,19,99,3,d6,e7
ad,83,9,0,80,,  ,23,cf,12,58,a9,0a,0c,95,db,cc
be,93,f6,bd,87,,  ,c2,bf,9,13,6b,4e,5b,40,b7,31
12,0,0,0,80,,  ,f0,aa,39,6e,a4,aa,8c,bf,85,ce
2,0,0,0,80,,  ,f8,57,11,8e,8d,ff,eb,bb,79,53
0a,1c,e2,6a,83,,  ,28,d6,9,64,33,f5,26,45,cf,44
a1,28,30,59,80,,  ,4a,2d,34,c4,f5,70,bb,f8,af,45
12,1,0,0,80,,  ,58,2c,b2,69,80,d1,36,1d,9d,34
dd,f9,b2,57,80,,  ,34,21,7b,96,11,af,68,e2,1d,e0
6,0,0,0,80,,  ,bf,7e,2a,a8,57,b4,31,60,4b,4b
22,0,0,0,80,,  ,a0,7,1,b7,57,27,7c,29,97,8
2,0,0,0,80,,  ,f8,57,11,8e,8d,ff,eb,bb,79,53
1e,f2,8d,0,80,,  ,4f,f4,fb,9,7e,33,dc,27,91,f2
e4,7,2f,82,82,,  ,b0,7b,ec,ce,80,51,e2,4c,0b,4c
16,26,4,0,80,,  ,3e,1a,78,47,f4,ea,df,3a,33,aa
7f,0,0,0,80,,  ,d4,2a,bb,8d,59,79,9e,7a,a2,c4
49,66,c8,68,80,,  ,b8,53,ec,68,0e,32,58,5d,1f,20
c2,74,81,3,81,,  ,d9,67,79,51,0f,a8,c7,dc,a2,dd
3,0,0,0,80,,  ,6f,ab,aa,e6,a8,4d,b1,73,b2,bb
bc,5a,0,0,80,,  ,6c,46,d1,0f,53,ca,91,16,bf,d2
d6,4,0,0,80,,  ,2a,41,8f,4c,5c,98,16,0a,d8,a3
78,1,0,0,80,,  ,5a,98,1a,df,5f,c0,ad,b3,70,89
3,0,0,0,80,,  ,6f,ab,aa,e6,a8,4d,b1,73,b2,bb
93,e8,0a,0,80,,  ,4e,7,f2,7a,2b,5c,ff,b6,68,fc
86,71,5e,0,80,,  ,f4,f5,a6,6d,fc,cd,e8,e7,49,cc
92,76,32,53,99,,  ,71,82,1d,85,6c,fa,30,52,e9,5b
c0,74,1f,2,80,,  ,6c,fc,60,25,76,7c,61,f1,db,4d
8a,a1,0,0,80,,  ,c6,61,50,a2,2d,69,46,3a,89,51
d8,0c,0,0,80,,  ,6c,75,54,fb,b5,76,c7,4a,db,aa
e5,22,b8,0e,80,,  ,49,4,bf,bb,70,8c,94,42,35,31
ef,2a,0,0,80,,  ,43,93,0a,2d,6b,6e,f3,e9,ef,e8
d6,60,f1,0f,80,,  ,a0,d7,6a,72,a4,2b,75,2,69,31
c4,0,0,0,80,,  ,5c,cc,7,45,7f,92,c5,b4,cc,dd
2b,51,cd,0,80,,  ,ca,d2,40,f1,cb,9f,7a,7e,9d,cd
7,0,0,0,80,,  ,29,bc,ac,57,77,8a,5c,fb,0e,7e
eb,6e,6e,0,80,,  ,ce,96,aa,4b,7a,12,e6,97,cb,6a
6b,5,0,0,80,,  ,bd,b8,3c,e0,40,f9,29,92,49,b0
7f,4,0,0,80,,  ,3c,30,65,ed,3f,48,0e,69,8b,69
87,81,c8,0a,80,,  ,1f,c1,9f,e8,ce,3,7,26,e6,a7
dc,a5,e5,0e,80,,  ,1b,bf,2d,9c,60,ee,d7,e8,42,4f
33,53,c0,96,80,,  ,54,e5,a7,3a,da,7e,41,20,c1,82
b8,a2,1,0,80,,  ,a6,c5,e4,9b,7a,f7,37,a0,e9,5c
19,0,0,0,80,,  ,48,c7,27,58,63,da,38,f0,af,a7
23,10,3,0,80,,  ,bc,fa,67,7f,56,cb,5,11,c2,d1
e4,6a,29,41,80,,  ,48,4d,32,c0,ec,77,19,48,1,cf
bf,7d,5c,0c,80,,  ,a6,76,f9,bc,99,af,47,3,af,0c
f7,92,71,b4,8b,,  ,3b,d7,95,ef,bf,e9,66,14,5b,29
70,0,0,0,80,,  ,95,c4,69,1b,37,16,8,74,0,64
a5,d8,39,48,85,,  ,3b,92,c9,d7,1d,36,58,7f,fb,19
e9,1,0,0,80,,  ,a6,db,58,da,88,bf,11,16,0f,4e
ab,ac,4f,0,80,,  ,6c,60,cf,50,29,89,d4,87,e9,36
ca,b5,4a,1,80,,  ,90,1b,4d,ea,29,f2,93,f3,e0,73
28,0,0,0,80,,  ,af,98,5e,fa,6c,32,30,2c,6d,90
7,b2,4,0,80,,  ,e9,27,7e,30,9c,15,51,21,6b,5b
2,0,0,0,80,,  ,f8,57,11,8e,8d,ff,eb,bb,79,53
14,0,0,0,80,,  ,b4,86,a0,69,70,ce,76,ea,ba,5f
b0,3,0,0,80,,  ,6,a2,69,ac,b4,fa,0f,e0,d0,b7
84,4d,ed,18,a5,,  ,20,5c,c3,0f,97,77,6a,60,28,f0
1d,c5,e4,3,80,,  ,c6,81,18,a8,c6,3d,5b,b3,a2,b2
54,dc,0,0,80,,  ,7f,ed,92,23,9,f8,1,e9,37,22
47,d5,60,1b,81,,  ,fb,f7,38,b3,3b,e1,c2,68,71,9
11,68,e8,4a,86,,  ,0,77,1,40,47,13,2f,f1,c9,6f
58,3,0,0,80,,  ,20,d3,32,7,f7,a7,55,74,c4,f3
9c,47,12,a0,80,,  ,25,89,f6,a1,53,7d,25,66,b5,8c
6b,0,0,0,80,,  ,1b,89,4,e7,a9,87,e2,d4,4e,51
86,4,4e,3c,80,,  ,f7,f8,70,3e,0a,3,b6,1,72,ac
b2,c0,35,24,80,,  ,b6,2b,a2,a7,85,92,91,6b,90,28
76,1,0,0,80,,  ,33,23,c7,41,eb,54,0a,69,1d,2d
1d,3c,0,0,80,,  ,7d,4c,b5,9d,b1,0f,ba,2b,ac,4d
e4,f2,95,1b,80,,  ,7d,97,a1,9d,39,43,9e,8d,9e,49
5f,7a,3f,fe,b6,,  ,fd,e4,d1,6,95,f4,f5,0c,ae,1b
f2,97,eb,5,80,,  ,b1,64,d7,8,4b,30,93,29,82,74
60,f6,47,7,80,,  ,cf,e4,f7,60,4,c3,a9,12,21,0e
d5,9f,0,0,80,,  ,c2,56,87,4a,67,a1,f5,c7,93,45
76,46,ce,1f,80,,  ,62,a9,9c,10,a6,1c,35,87,e1,72
d9,5f,1d,dd,83,,  ,3b,fb,fb,78,50,72,b2,45,f1,f1
20,0,0,0,80,,  ,a5,92,8,0,de,73,f1,10,c0,88
d2,0,0d,43,81,,  ,79,d2,51,92,47,75,95,ed,6f,86
ee,92,e8,c0,aa,,  ,9c,45,bd,d9,2f,e3,7a,9e,b9,4a
11,83,0b,0,80,,  ,c1,63,93,eb,b9,b8,38,b9,59,58
7,0,0,0,80,,  ,29,bc,ac,57,77,8a,5c,fb,0e,7e
d0,1,0,0,80,,  ,55,36,16,69,cb,9f,52,87,0d,24
2b,8b,c6,91,80,,  ,28,79,4f,82,4e,a7,26,c7,b6,25
bd,17,0,0,80,,  ,6c,36,54,2e,c2,ca,b9,71,b4,7a
18,0,0,0,80,,  ,6e,4f,b2,87,92,8b,72,10,2,86
9d,c1,19,0,80,,  ,5a,eb,4c,0d,79,2d,14,96,86,e8
f1,5d,73,0,80,,  ,0a,4b,ec,34,4,50,fa,f1,dd,22
92,2b,99,1,80,,  ,84,af,69,ec,29,2,74,f2,e9,2d
c2,55,6,0,80,,  ,6,18,c9,d1,5f,9c,28,1b,16,9a
ca,64,15,29,81,,  ,6e,f9,18,3d,3,be,bd,69,a8,87
5a,1f,1,0,80,,  ,e4,6f,0f,96,87,a1,f1,39,4c,be
73,c7,a2,a7,80,,  ,72,35,dc,bc,c8,8d,27,5d,12,16
60,0,0,0,80,,  ,a1,81,b1,c2,17,d2,44,6e,29,62
c0,77,b9,c7,80,,  ,3,d1,da,3f,16,a3,67,93,7d,fd
a6,65,3a,2b,80,,  ,e2,12,b2,7,68,81,cb,68,c1,28
bd,40,30,0,80,,  ,a0,56,ad,e0,19,b3,3a,32,54,8c
c4,6f,e1,3,80,,  ,5,57,a0,2,93,1c,0a,d1,9c,a8
